Institute_Name,Factor,Weightage,Unit,Formula,Minimum_Requirement,Maximum_Score,Verified
IIM Indore,Academic normalization,,Formula,Z-score normalization for 10th and 12th,,,Yes
IIM Indore,Diversity factor weight,7,Points,,,7,Yes
IIM Indore,Work-experience weight,0–3,Points,,,3,Yes
IIM Kozhikode,CAT thresholds,,Percentile,,General 85 overall and common sectional 75; OBC-NCL/EWS 75/65; SC 65/55; ST/PwD 55/45,,Yes
IIM Kozhikode,AIS weights,CAT 50 + Class X 15 + Class XII 20 + Gender 10 / Academic 5 + WorkEx 5,Points,,,100,Yes
IIM Kozhikode,Class X normalization,15,Formula,candidate Class X marks / board highest × 15,,15,Yes
IIM Kozhikode,Class XII normalization,20,Formula,candidate Class XII marks / board-stream highest × 20,,20,Yes
IIM Kozhikode,Gender / academic diversity,Gender 10 or academic diversity 5,Points,,,10,Yes
IIM Kozhikode,Work-experience curve,5,Points,Peaks at 35–36 months at 5 points,,5,Yes
IIM Shillong,Composite Score,65% CAT + 35% NARS,Percent,Composite Score = 65% CAT + 35% NARS,,,Yes
IIM Ranchi,Initial PI shortlist cutoff,,Percentile,,General 95.25 overall; 75 sectional percentiles; positive scaled scores,,Yes
IIM Sambalpur,Stage-1 CAT thresholds,,Percentile,,"General 90, EWS 80, NC-OBC 75, SC 55, ST 40, DAP 40; positive CAT raw scores in all sections",,Yes
IIM Sambalpur,CAT-score formula,,Formula,0.31 × overall percentile + 0.03×VARC + 0.03×QA + 0.03×DILR,,,Yes
IIM Sambalpur,General relaxation,,Percentile,,General relaxation to 85 for all female candidates and for male candidates with at least one year relevant work experience,,Yes
IIFM Bhopal,Exam-based shortlisting,,Process,,CAT/XAT/MAT/CMAT accepted,,Yes
FMS Delhi,CAT weighted shortlist,0.40 VARC + 0.30 DILR + 0.30 QA,Percent,Shortlist score = 0.40 VARC + 0.30 DILR + 0.30 QA,,,Yes
FMS Delhi,Women bonus,+5,Points,,,5,Yes
IIFT Delhi,Stage-I secondary-supported weights,90 CAT + 5 Work Experience + 5 Gender,Points,,,100,Yes
MDI Gurgaon,Stage-I selection weights,70 CAT + 5 Class X + 5 Class XII + 5 Graduation + 2.5 Academic Diversity + 2.5 Gender Diversity + 10 Work Experience,Points,,,100,Yes
SPJIMR Mumbai,Shortlisting pathway,,Process,Profile-based + profile-cum-score-based,,,Yes
XLRI Jamshedpur,BM/HRM shortlist basis,,Process,Interview shortlists for BM and HRM are based only on XAT scores,,,Yes
ISB Hyderabad and Mohali,Core eligibility criteria,,Minimum requirement,Bachelor's degree + valid GMAT/GRE + at least 24 months full-time work experience,,,Yes
JBIMS Mumbai,CAP-led governance,,Process,MAH-MBA CET + CAP process by DTE/CET Cell,,,Yes
NMIMS Mumbai,Stage-1 NMAT shortlist basis,,Process,First NMAT attempt; sectional and total NMAT score used for shortlisting,,,Yes
SIBM Pune,SNAP shortlist basis,,Process,GE-PI shortlist based on overall SNAP percentile,,,Yes
