Institute_Name,Institute_Type,Entrance_Exam,Admission_Cycle,Verification_Status,Confidence_Level,Source_Type,Shortlisting_Pathway,Shortlisting_Formula,Remarks
IIM Sambalpur,IIM,CAT,2026–28,Verified Official,High,Official,Stage 1 CAT thresholds; Stage 2 Pre-PI score; Stage 3 PI and final merit,"CAT-score formula = 0.31 × overall percentile + 0.03 each for VARC, QA, and DILR; Pre-PI score out of 75",Stage-1 thresholds include category cutoffs and General relaxation rules.
IIFM Bhopal,Public institute,CAT; XAT; MAT; CMAT,2026,Verified Official for programs/process; formula not publicly disclosed,Medium,Official,Exam-based shortlisting followed by offline PI,No detailed shortlisting weightage or formula publicly disclosed in retrieved official pages,"Program, seat, eligibility, accepted-exam, PI-mode, reservation, fee, and deadline data are verified."
FMS Delhi,Public university department,CAT,2026–28,Verified Official,High,Official,Weighted CAT shortlist plus women bonus,Shortlist score = 0.40 VARC + 0.30 DILR + 0.30 QA; +5 women at shortlist,"CAT section values are weights, not sectional minimum cutoffs."
IIFT Delhi,Public institute / deemed university,CAT,2026–28,Verified Official for broad process; Verified Secondary for exact numeric tables,Medium,Official + Verified Secondary,CAT 2025 plus other defined parameters; shortlist to GD/PI,Secondary-supported Stage-I = 90 CAT + 5 Work Experience + 5 Gender,"Exact numeric weights are secondary/archival-supported, not primary-published in retrieved prospectus."
MDI Gurgaon,Private B-school,CAT,2026–28,Verified Official,High,Official,"Stage-I composite score using CAT, academics, diversity, and work experience",Stage-I = 70 CAT + 5 Class X + 5 Class XII + 5 Graduation + 2.5 Academic Diversity + 2.5 Gender Diversity + 10 Work Experience,"Official source also publishes final-stage BAT/WAT/GD/PI, regional diversity, sports, and work-experience table."
IMT Ghaziabad,Private B-school,CAT; XAT; GMAT; other accepted exams per official/secondary context,2026 public-facing material mostly evergreen,No verified official weight table/formula,Low,Secondary for broad process only,Holistic screening described by secondary sources; no public official numeric matrix retrieved,,"No exact official weightage, formula, normalization, or cutoff admitted."
IRMA Anand,Private / sectoral management institute,CAT/XAT/CMAT or institute process as applicable in official current pages,MBA 2026–28 current site; Stage-1 official guidebook reference 2025–27,Verified Official for eligibility/program status; exact composite not primary-published,Medium,Official + Secondary with unresolved detail conflicts,Current official pages verify MBA status and eligibility; detailed composite not admitted as production formula,,Secondary composite values were not admitted where sources conflicted or lacked current primary support.
XIMB Bhubaneswar,Private B-school,XAT; CAT; GMAT; XGMT,2026 intake,Verified Official for eligibility/accepted tests; detailed weights unsupported,Medium,Official,Accepted-test based admissions process; detailed scoring matrix not publicly verified,,Only eligibility and accepted-test facts are admitted; unsupported cutoffs/WAT/GD weights excluded.
SPJIMR Mumbai,Private B-school,CAT; GMAT as applicable by program policy,2026–28,Verified Official for pathway,Medium,Official,Profile-based and profile-cum-score-based pathways,"No public numeric formula admitted; official pathway considers academic background, work-experience relevance, entrance scores, versatility/achievements",Unpublished CAT cutoff numbers excluded.
XLRI Jamshedpur,Private B-school,XAT for Indian BM/HRM applicants; GMAT for specified non-XAT cases,2026 intake / XAT 2026,Verified Official for shortlist basis,Medium,Official,BM/HRM interview shortlist based only on XAT scores,No public numeric shortlist threshold/formula admitted,Unpublished public cutoff values excluded.
ISB Hyderabad and Mohali,Private B-school,GMAT; GRE,Current ISB PGP cycle in official pages,Verified Official for core criteria; Stage-2 omission corrected,Low,Official,Unified PGP admissions process across Hyderabad and Mohali,Bachelor's degree + valid GMAT/GRE + at least 24 months full-time work experience + essays + interview,No Stage-2 extracted row existed; production row uses official criteria only.
JBIMS Mumbai,Public/state university institute,MAH-MBA CET / CAP routes,CAP-led cycle context,Verified Official/Secondary for CAP governance; no institute formula admitted,Low,Official + Verified Secondary,Centralized MAH-MBA CET + CAP process by DTE/CET Cell,No institute-specific AR/IPA formula admitted,Institute-specific composite formula claims excluded.
NMIMS Mumbai,Private university B-school,NMAT,2026–28,Verified Official for structure,Medium,Official,Stage-1 shortlist using NMAT sectional and total score; second stage may include competency test and PI,"Final merit includes NMAT, PI, competency test, work experience, and past academic performance; exact numeric thresholds not admitted",30% of seats are offered to women candidates as per official handout.
SIBM Pune,Private university B-school,SNAP,2026–28 / SNAP 2025,Verified Official,High,Official,GE-PI shortlist based on overall SNAP percentile,Merit List = SNAP 50 + GE 10 + PI 40,Unpublished 98.5 percentile cutoff excluded.
